split,tournament,player,fj_id,tm_id,dob,team_id,team_name,position,age,value_before,value_before_12m,value_after,wc_goals,wc_matches,wc_starts,wc_subs,prior_wc,target_logratio,target_pct,log_vb,value_trend_1y,pos_DEF,pos_FWD,pos_GK,pos_MID
train,WC-2014,cedric si mohamed,P-96937,,1985-01-09,T-01,Algeria,GK,29.420944558521562,,,,0.0,0.0,0.0,0.0,0,,,,0.0,False,False,True,False
train,WC-2014,madjid bougherra,P-21116,,1982-10-07,T-01,Algeria,DEF,31.679671457905545,,,,0.0,3.0,2.0,1.0,0,,,,0.0,True,False,False,False
train,WC-2014,faouzi ghoulam,P-55717,126656.0,1991-02-01,T-01,Algeria,DEF,23.359342915811087,5000000.0,3500000.0,7000000.0,0.0,2.0,2.0,0.0,0,0.3364722366212129,39.99999999999999,15.424948470398375,0.35667485822446754,True,False,False,False
train,WC-2014,essaid belkalem,P-41251,162395.0,1989-01-01,T-01,Algeria,DEF,25.44284736481862,1000000.0,900000.0,1000000.0,0.0,3.0,2.0,1.0,0,0.0,0.0,13.815510557964274,0.10536040454683256,True,False,False,False
train,WC-2014,rafik halliche,P-19453,67815.0,1986-09-02,T-01,Algeria,DEF,27.77549623545517,800000.0,750000.0,1200000.0,1.0,4.0,4.0,0.0,0,0.4054651081081644,50.0,13.592367006650065,0.06453843780434548,True,False,False,False
train,WC-2014,djamel mesbah,P-09059,17735.0,1984-10-09,T-01,Algeria,DEF,29.672826830937716,600000.0,900000.0,700000.0,0.0,2.0,2.0,0.0,0,0.15415067982725836,16.666666666666675,13.304684934198283,-0.4054645525533804,True,False,False,False
train,WC-2014,hassan yebda,P-70560,12351.0,1984-05-14,T-01,Algeria,MID,30.078028747433265,1800000.0,1800000.0,1500000.0,0.0,1.0,0.0,1.0,0,-0.1823215567939546,-16.666666666666664,14.403297222866392,0.0,False,False,False,True
train,WC-2014,mehdi lacen,P-23484,,1984-03-15,T-01,Algeria,MID,30.24229979466119,,,,0.0,3.0,1.0,2.0,0,,,,0.0,False,False,False,True
train,WC-2014,nabil ghilas,P-31598,193515.0,1990-04-20,T-01,Algeria,FWD,24.145106091718002,3500000.0,2000000.0,3000000.0,0.0,3.0,0.0,3.0,0,-0.15415067982725836,-14.28571428571429,15.068273526459642,0.5596155736497925,False,True,False,False
train,WC-2014,sofiane feghouli,P-12165,57162.0,1989-12-26,T-01,Algeria,MID,24.459958932238195,12000000.0,12000000.0,15000000.0,1.0,4.0,4.0,0.0,0,0.22314355131420976,25.0,16.300417207752275,0.0,False,False,False,True
train,WC-2014,yacine brahimi,P-24983,60517.0,1990-02-08,T-01,Algeria,MID,24.33949349760438,4000000.0,4000000.0,7500000.0,1.0,3.0,2.0,1.0,0,0.6286086594223741,87.5,15.201804919084164,0.0,False,False,False,True
train,WC-2014,carl medjani,P-21704,8060.0,1985-05-15,T-01,Algeria,DEF,29.075975359342916,1750000.0,2500000.0,2000000.0,0.0,3.0,3.0,0.0,0,0.13353139262452257,14.28571428571428,14.375126345899696,-0.35667477251024415,True,False,False,False
train,WC-2014,islam slimani,P-59199,174915.0,1988-06-18,T-01,Algeria,FWD,25.982203969883642,2000000.0,750000.0,6000000.0,2.0,4.0,3.0,1.0,0,1.0986122886681098,200.0,14.508657738524219,0.9808284196791567,False,True,False,False
train,WC-2014,nabil bentaleb,P-96340,245537.0,1994-11-24,T-01,Algeria,MID,19.548254620123203,500000.0,,3000000.0,0.0,3.0,3.0,0.0,0,1.791759469228055,500.0,13.122363377404328,0.0,False,False,False,True
train,WC-2014,hillal soudani,P-63360,,1987-11-25,T-01,Algeria,FWD,26.546201232032853,,,,0.0,3.0,2.0,1.0,0,,,,0.0,False,True,False,False
train,WC-2014,mohamed zemmamouche,P-52593,,1985-03-19,T-01,Algeria,GK,29.232032854209447,,,,0.0,0.0,0.0,0.0,0,,,,0.0,False,False,True,False
train,WC-2014,liassine cadamuro bentaiba,P-98016,,1988-03-05,T-01,Algeria,DEF,26.269678302532512,,,,0.0,0.0,0.0,0.0,0,,,,0.0,True,False,False,False
train,WC-2014,abdelmoumene djabou,P-59147,,1987-01-31,T-01,Algeria,MID,27.362080766598222,,,,2.0,3.0,2.0,1.0,0,,,,0.0,False,False,False,True
train,WC-2014,saphir taider,P-83421,144779.0,1992-02-29,T-01,Algeria,MID,22.28336755646817,10000000.0,3000000.0,8000000.0,0.0,2.0,2.0,0.0,0,-0.2231435513142097,-19.999999999999996,16.11809565095832,1.2039725709926532,False,False,False,True
train,WC-2014,aissa mandi,P-58383,80293.0,1991-10-22,T-01,Algeria,DEF,22.639288158795345,2000000.0,1500000.0,2500000.0,0.0,3.0,3.0,0.0,0,0.22314355131420976,25.0,14.508657738524219,0.2876819057852114,True,False,False,False
train,WC-2014,riyad mahrez,P-91590,171424.0,1991-02-21,T-01,Algeria,MID,23.304585900068446,1250000.0,750000.0,2000000.0,0.0,1.0,1.0,0.0,0,0.47000362924573563,60.00000000000001,14.038654109278484,0.5108250904332262,False,False,False,True
train,WC-2014,mehdi mostefa,P-09673,80191.0,1983-08-30,T-01,Algeria,MID,30.784394250513348,1500000.0,1500000.0,1500000.0,0.0,2.0,2.0,0.0,0,0.0,0.0,14.22097566607244,0.0,False,False,False,True
train,WC-2014,rais m bolhi,P-00596,33465.0,1986-04-25,T-01,Algeria,GK,28.13141683778234,,500000.0,500000.0,0.0,4.0,4.0,0.0,0,,,,0.0,False,False,True,False
train,WC-2014,sergio romero,P-60541,30690.0,1987-02-22,T-03,Argentina,GK,27.301848049281315,2000000.0,4000000.0,3800000.0,0.0,7.0,7.0,0.0,0,0.6418538861723947,89.99999999999999,14.508657738524219,-0.6931469305600392,False,False,True,False
train,WC-2014,ezequiel garay,P-61051,35939.0,1986-10-10,T-03,Argentina,DEF,27.67145790554415,20000000.0,17500000.0,20000000.0,0.0,7.0,7.0,0.0,0,0.0,0.0,16.811242831518264,0.1335313854816659,True,False,False,False
train,WC-2014,hugo campagnaro,P-69606,21782.0,1980-06-27,T-03,Argentina,DEF,33.95756331279945,4200000.0,4200000.0,1000000.0,0.0,1.0,1.0,0.0,0,-1.4350845252893227,-76.19047619047619,15.250595083253597,0.0,True,False,False,False
train,WC-2014,pablo zabaleta,P-96639,20007.0,1985-01-16,T-03,Argentina,DEF,29.401779603011637,19000000.0,16000000.0,19000000.0,0.0,7.0,7.0,0.0,0,0.0,0.0,16.759949537130716,0.1718502470582387,True,False,False,False
train,WC-2014,fernando gago,P-51894,38954.0,1986-04-10,T-03,Argentina,MID,28.17248459958932,4000000.0,5000000.0,3400000.0,0.0,6.0,3.0,3.0,0,-0.16251892949777494,-15.000000000000002,15.201804919084164,-0.22314350131422098,False,False,False,True
train,WC-2014,lucas biglia,P-38647,26721.0,1986-01-30,T-03,Argentina,MID,28.36413415468857,7500000.0,7000000.0,10500000.0,0.0,7.0,3.0,4.0,0,0.3364722366212129,39.99999999999999,15.830413578506539,0.06899286196314315,False,False,False,True
train,WC-2014,angel di maria,P-42113,45320.0,1988-02-14,T-03,Argentina,MID,26.324435318275153,30000000.0,34000000.0,65000000.0,1.0,5.0,5.0,0.0,0,0.7731898882334817,116.66666666666666,17.216707939626428,-0.12516313903243748,False,False,False,True
train,WC-2014,enzo perez,P-69019,56066.0,1986-02-22,T-03,Argentina,MID,28.301163586584533,11000000.0,7500000.0,23000000.0,0.0,3.0,2.0,1.0,0,0.7375989431307791,109.09090909090908,16.213405830762646,0.3829922098318681,False,False,False,True
train,WC-2014,gonzalo higuain,P-29398,39153.0,1987-12-10,T-03,Argentina,FWD,26.50513347022587,38000000.0,25000000.0,40000000.0,1.0,7.0,6.0,1.0,0,0.05129329438755048,5.263157894736836,17.45309671769066,0.4187103211739749,False,True,False,False
train,WC-2014,lionel messi,P-14758,28003.0,1987-06-24,T-03,Argentina,FWD,26.967830253251197,120000000.0,120000000.0,120000000.0,4.0,7.0,7.0,0.0,0,0.0,0.0,18.60300230074632,0.0,False,True,False,False
train,WC-2014,maxi rodriguez,P-33570,,1981-01-02,T-03,Argentina,MID,33.440109514031484,,,,0.0,2.0,1.0,1.0,0,,,,0.0,False,False,False,True
train,WC-2014,agustin orion,P-86028,,1981-07-26,T-03,Argentina,GK,32.878850102669404,,,,0.0,0.0,0.0,0.0,0,,,,0.0,False,False,True,False
train,WC-2014,augusto fernandez,P-29672,39151.0,1986-04-10,T-03,Argentina,MID,28.17248459958932,4000000.0,3000000.0,5000000.0,0.0,0.0,0.0,0.0,0,0.22314355131420976,25.0,15.201804919084164,0.287681989118472,False,False,False,True
train,WC-2014,javier mascherano,P-77063,19981.0,1984-06-08,T-03,Argentina,DEF,30.00958247775496,15000000.0,20000000.0,15000000.0,0.0,7.0,7.0,0.0,0,0.0,0.0,16.523560759066484,-0.28768205578511524,True,False,False,False
train,WC-2014,martin demichelis,P-39810,2963.0,1980-12-20,T-03,Argentina,DEF,33.4757015742642,2500000.0,3000000.0,2000000.0,0.0,3.0,3.0,0.0,0,-0.2231435513142097,-19.999999999999996,14.73180128983843,-0.18232149012731247,True,False,False,False
train,WC-2014,marcos rojo,P-18222,93176.0,1990-03-20,T-03,Argentina,DEF,24.229979466119097,5500000.0,5000000.0,16000000.0,1.0,6.0,6.0,0.0,0,1.067840630001356,190.9090909090909,15.520258650202699,0.09531016162251013,True,False,False,False
train,WC-2014,federico fernandez,P-72244,85475.0,1989-02-21,T-03,Argentina,DEF,25.30321697467488,4000000.0,3000000.0,8000000.0,0.0,4.0,4.0,0.0,0,0.6931471805599453,100.0,15.201804919084164,0.287681989118472,True,False,False,False
train,WC-2014,rodrigo palacio,P-27419,39099.0,1982-02-05,T-03,Argentina,FWD,32.34770704996578,12000000.0,12500000.0,6500000.0,0.0,5.0,0.0,5.0,0,-0.6131044728864089,-45.833333333333336,16.300417207752275,-0.04082199118692203,False,True,False,False
train,WC-2014,ricky alvarez,P-58741,,1988-04-12,T-03,Argentina,MID,26.16563997262149,,,,0.0,1.0,0.0,1.0,0,,,,0.0,False,False,False,True
train,WC-2014,sergio aguero,P-36870,26399.0,1988-06-02,T-03,Argentina,FWD,26.026009582477755,45000000.0,45000000.0,45000000.0,0.0,5.0,3.0,2.0,0,0.0,0.0,17.622173047734595,0.0,False,True,False,False
train,WC-2014,mariano andujar,P-55451,35491.0,1983-07-30,T-03,Argentina,GK,30.869267624914443,3800000.0,4200000.0,2000000.0,0.0,0.0,0.0,0.0,0,-0.6418538861723948,-47.36842105263158,15.150511624696614,-0.10008343349433223,False,False,True,False
train,WC-2014,ezequiel lavezzi,P-69953,50570.0,1985-05-03,T-03,Argentina,FWD,29.1088295687885,21000000.0,26000000.0,20000000.0,0.0,6.0,4.0,2.0,0,-0.048790164169432056,-4.761904761904767,16.860032995687696,-0.21357409114055023,False,True,False,False
train,WC-2014,jose maria basanta,P-38424,55997.0,1984-04-03,T-03,Argentina,DEF,30.190280629705683,3500000.0,2500000.0,3000000.0,0.0,2.0,1.0,1.0,0,-0.15415067982725836,-14.28571428571429,15.068273526459642,0.3364721223355378,True,False,False,False
train,WC-2014,mathew ryan,P-10244,128969.0,1992-04-08,T-04,Australia,GK,22.17659137577002,2500000.0,1000000.0,4000000.0,0.0,3.0,3.0,0.0,0,0.47000362924573563,60.00000000000001,14.73180128983843,0.9162901318745751,False,False,True,False
train,WC-2014,ivan franjic,P-12111,48424.0,1987-09-10,T-04,Australia,DEF,26.754277891854894,600000.0,400000.0,600000.0,0.0,1.0,1.0,0.0,0,0.0,0.0,13.304684934198283,0.4054642747765672,True,False,False,False
train,WC-2014,jason davidson,P-05392,137669.0,1991-06-29,T-04,Australia,DEF,22.954140999315538,400000.0,400000.0,750000.0,0.0,3.0,3.0,0.0,0,0.6286086594223741,87.5,12.89921982609012,0.0,True,False,False,False
train,WC-2014,tim cahill,P-44926,,1979-12-06,T-04,Australia,MID,34.5160848733744,,,,2.0,2.0,2.0,0.0,0,,,,0.0,False,False,False,True
train,WC-2014,mark milligan,P-36196,37372.0,1985-08-04,T-04,Australia,DEF,28.854209445585216,750000.0,,,0.0,1.0,1.0,0.0,0,,,13.527828485512494,0.0,True,False,False,False
train,WC-2014,matthew spiranovic,P-77068,,1988-06-27,T-04,Australia,DEF,25.95756331279945,,,,0.0,3.0,3.0,0.0,0,,,,0.0,True,False,False,False
train,WC-2014,mathew leckie,P-35837,126214.0,1991-02-04,T-04,Australia,FWD,23.351129363449694,1000000.0,700000.0,1700000.0,0.0,3.0,3.0,0.0,0,0.5306282510621704,70.0,13.815510557964274,0.3566745153678243,False,True,False,False
train,WC-2014,bailey wright,P-97422,,1992-07-28,T-04,Australia,DEF,21.872689938398356,,,,0.0,0.0,0.0,0.0,0,,,,0.0,True,False,False,False
train,WC-2014,adam taggart,P-81067,171721.0,1993-06-02,T-04,Australia,FWD,21.026694045174537,750000.0,200000.0,500000.0,0.0,2.0,1.0,1.0,0,-0.40546510810816444,-33.333333333333336,13.527828485512494,1.321752173327264,False,True,False,False
train,WC-2014,ben halloran,P-65381,160740.0,1992-06-14,T-04,Australia,MID,21.99315537303217,,,,0.0,3.0,0.0,3.0,0,,,,0.0,False,False,False,True
train,WC-2014,tommy oar,P-84412,80708.0,1991-12-10,T-04,Australia,MID,22.50513347022587,1500000.0,1500000.0,2000000.0,0.0,3.0,3.0,0.0,0,0.28768207245178085,33.33333333333333,14.22097566607244,0.0,False,False,False,True
train,WC-2014,mitchell langerak,P-15064,49347.0,1988-08-22,T-04,Australia,GK,25.804243668720055,1000000.0,800000.0,1500000.0,0.0,0.0,0.0,0.0,0,0.4054651081081644,50.0,13.815510557964274,0.22314330131449106,False,False,True,False
train,WC-2014,oliver bozanic,P-52319,43117.0,1989-01-08,T-04,Australia,MID,25.423682409308693,750000.0,,600000.0,0.0,2.0,1.0,1.0,0,-0.2231435513142097,-19.999999999999996,13.527828485512494,0.0,False,False,False,True
train,WC-2014,james troisi,P-09100,52585.0,1988-07-03,T-04,Australia,MID,25.94113620807666,1200000.0,1800000.0,1500000.0,0.0,2.0,0.0,2.0,0,0.22314355131420976,25.0,13.997832114758229,-0.40546483033057945,False,False,False,True
train,WC-2014,mile jedinak,P-37275,28336.0,1984-08-03,T-04,Australia,MID,29.856262833675565,2500000.0,1500000.0,4000000.0,1.0,3.0,3.0,0.0,0,0.47000362924573563,60.00000000000001,14.73180128983843,0.5108253570994663,False,False,False,True
train,WC-2014,james holland,P-77996,,1989-05-15,T-04,Australia,MID,25.075975359342916,,,,0.0,0.0,0.0,0.0,0,,,,0.0,False,False,False,True
train,WC-2014,matt mckay,P-93567,,1983-01-11,T-04,Australia,MID,31.416837782340863,,,,0.0,2.0,2.0,0.0,0,,,,0.0,False,False,False,True
train,WC-2014,eugene galekovic,P-07864,,1981-06-12,T-04,Australia,GK,32.99931553730322,,,,0.0,0.0,0.0,0.0,0,,,,0.0,False,False,True,False
train,WC-2014,ryan mcgowan,P-95590,54265.0,1989-08-15,T-04,Australia,DEF,24.824093086926762,700000.0,650000.0,800000.0,0.0,3.0,2.0,1.0,0,0.13353139262452257,14.28571428571428,13.458835614025542,0.074107862263775,True,False,False,False
train,WC-2014,dario vidosic,P-73512,,1987-04-08,T-04,Australia,MID,27.17864476386037,,,,0.0,0.0,0.0,0.0,0,,,,0.0,False,False,False,True
train,WC-2014,massimo luongo,P-33434,181687.0,1992-09-25,T-04,Australia,MID,21.711156741957563,400000.0,,1500000.0,0.0,0.0,0.0,0.0,0,1.3217558399823195,275.0,12.89921982609012,0.0,False,False,False,True
train,WC-2014,alex wilkinson,P-60159,,1984-08-13,T-04,Australia,DEF,29.828884325804243,,,,0.0,3.0,3.0,0.0,0,,,,0.0,True,False,False,False
train,WC-2014,mark bresciano,P-84486,,1980-02-11,T-04,Australia,MID,34.332648870636554,,,,0.0,3.0,2.0,1.0,0,,,,0.0,False,False,False,True
train,WC-2014,thibaut courtois,P-09658,108390.0,1992-05-11,T-06,Belgium,GK,22.086242299794662,25000000.0,18000000.0,25000000.0,0.0,5.0,5.0,0.0,0,0.0,0.0,17.034386382832476,0.3285040514164813,False,False,True,False
train,WC-2014,toby alderweireld,P-70547,42710.0,1989-03-02,T-06,Belgium,DEF,25.27857631759069,10000000.0,10000000.0,10000000.0,0.0,4.0,4.0,0.0,0,0.0,0.0,16.11809565095832,0.0,True,False,False,False
train,WC-2014,thomas vermaelen,P-92866,15904.0,1985-11-14,T-06,Belgium,DEF,28.57494866529774,14000000.0,18000000.0,15000000.0,0.0,1.0,1.0,0.0,0,0.06899287148695142,7.14285714285714,16.454567887579532,-0.25131441240789115,True,False,False,False
train,WC-2014,vincent kompany,P-95269,9594.0,1986-04-10,T-06,Belgium,DEF,28.17248459958932,35000000.0,35000000.0,33000000.0,0.0,4.0,4.0,0.0,0,-0.058840500022933465,-5.714285714285716,17.37085861945369,0.0,True,False,False,False
train,WC-2014,jan vertonghen,P-64049,43250.0,1987-04-24,T-06,Belgium,DEF,27.134839151266256,22000000.0,19000000.0,19000000.0,1.0,5.0,4.0,1.0,0,-0.1466034741918754,-13.636363636363635,16.90655301132259,0.14660346701484223,True,False,False,False
train,WC-2014,axel witsel,P-53048,35047.0,1989-01-12,T-06,Belgium,MID,25.412731006160165,35000000.0,30000000.0,35000000.0,0.0,4.0,4.0,0.0,0,0.0,0.0,17.37085861945369,0.15415067506535376,False,False,False,True
train,WC-2014,kevin de bruyne,P-48955,88755.0,1991-06-28,T-06,Belgium,MID,22.95687885010267,17000000.0,10000000.0,28000000.0,1.0,4.0,4.0,0.0,0,0.4989911661189878,64.70588235294117,16.64872390202049,0.5306282098857031,False,False,False,True
train,WC-2014,marouane fellaini,P-63363,39679.0,1987-11-22,T-06,Belgium,MID,26.55441478439425,23000000.0,28000000.0,20000000.0,1.0,5.0,4.0,1.0,0,-0.13976194237515874,-13.043478260869568,16.951004773893423,-0.1967102864820794,False,False,False,True
train,WC-2014,romelu lukaku,P-72637,96341.0,1993-05-13,T-06,Belgium,FWD,21.08145106091718,25000000.0,19000000.0,30000000.0,1.0,4.0,2.0,2.0,0,0.1823215567939546,19.999999999999996,17.034386382832476,0.2744368330701819,False,True,False,False
train,WC-2014,eden hazard,P-72011,50202.0,1991-01-07,T-06,Belgium,MID,23.42778918548939,45000000.0,40000000.0,48000000.0,0.0,5.0,4.0,1.0,0,0.06453852113757116,6.666666666666665,17.622173047734595,0.11778303287860584,False,False,False,True
